id,invoiceNumber,date,amount,paymentMethod
20260113000000013329,XC58076917,2026-01-13T15:25:18,498,"一般信用卡"
20260113000000008505,XC58076916,2026-01-13T12:55:18,149,"電子票證-悠遊卡-小額"
20260113000000008090,XC58076915,2026-01-13T12:43:28,149,"現金交易"
20260113000000008064,XC58076914,2026-01-13T12:42:53,149,"電子票證-悠遊卡-小額"
20260113000000004812,XC58076913,2026-01-13T11:06:48,670,"現金交易"
20260111000000019688,XC58076912,2026-01-11T17:05:37,498,"一般信用卡"
20260111000000019621,XC58076911,2026-01-11T17:04:00,358,"掃碼-街口支付"
20260111000000017884,XC58076910,2026-01-11T16:25:37,249,"現金交易"
20260111000000016736,XC58076909,2026-01-11T16:00:57,149,"現金交易"
20260111000000016491,XC58076908,2026-01-11T15:56:24,298,"掃碼-全支付"
20260111000000016321,XC58076907,2026-01-11T15:52:30,558,"掃碼-LINE Pay"
20260111000000016187,XC58076906,2026-01-11T15:49:10,358,"一般信用卡"
20260111000000014969,XC58076905,2026-01-11T15:22:27,298,"一般信用卡"
20260111000000014838,XC58076904,2026-01-11T15:19:10,996,"現金交易"
20260111000000014714,XC58076903,2026-01-11T15:16:32,498,"現金交易"
20260111000000014614,XC58076902,2026-01-11T15:14:21,1254,"一般信用卡"
20260111000000013999,XC58076901,2026-01-11T15:00:31,298,"現金交易"
20260111000000013843,XC58076900,2026-01-11T14:56:49,430,"掃碼-LINE Pay"
20260111000000013769,XC58076899,2026-01-11T14:55:42,510,"一般信用卡"
20260111000000013606,XC58076898,2026-01-11T14:51:31,638,"一般信用卡"
20260111000000013300,XC58076897,2026-01-11T14:45:16,498,"一般信用卡"
20260111000000012512,XC58076896,2026-01-11T14:27:58,447,"現金交易"
20260111000000012083,XC58076895,2026-01-11T14:17:43,249,"掃碼-iPass MONEY"
20260111000000012007,XC58076894,2026-01-11T14:15:56,1914,"一般信用卡"
20260111000000011266,XC58076893,2026-01-11T13:58:18,498,"掃碼-街口支付"
20260111000000011085,XC58076892,2026-01-11T13:50:40,149,"一般信用卡"
20260111000000004577,XC58076891,2026-01-11T11:11:05,249,"一般信用卡"
20260111000000004185,XC58076890,2026-01-11T10:57:25,149,"一般信用卡"
20260110000000020829,XC58076889,2026-01-10T16:30:49,558,"一般信用卡"
20260110000000020123,XC58076888,2026-01-10T16:13:23,149,"掃碼-街口支付"
20260110000000019745,XC58076887,2026-01-10T16:04:02,279,"一般信用卡"
20260110000000018290,XC58076886,2026-01-10T15:30:35,249,"一般信用卡"
20260110000000018231,XC58076885,2026-01-10T15:29:43,249,"一般信用卡"
20260110000000018216,XC58076884,2026-01-10T15:29:11,249,"一般信用卡"
20260110000000014873,XC58076883,2026-01-10T14:12:05,149,"一般信用卡"
20260110000000014259,XC58076882,2026-01-10T13:57:44,179,"一般信用卡"
20260110000000014239,XC58076881,2026-01-10T13:57:12,179,"一般信用卡"
20260110000000013527,XC58076880,2026-01-10T13:42:05,358,"電子票證-悠遊卡-小額"
20260110000000013122,XC58076879,2026-01-10T13:34:20,558,"一般信用卡"
20260110000000013091,XC58076878,2026-01-10T13:33:27,358,"一般信用卡"
20260110000000012823,XC58076877,2026-01-10T13:27:53,249,"電子票證-悠遊卡-小額"
20260110000000012584,XC58076876,2026-01-10T13:23:19,149,"掃碼-LINE Pay"
20260110000000012374,XC58076875,2026-01-10T13:18:34,149,"掃碼-LINE Pay"
20260110000000012016,XC58076874,2026-01-10T13:10:47,279,"電子票證-悠遊卡-小額"
20260110000000011719,XC58076873,2026-01-10T13:04:38,179,"電子票證-悠遊卡-小額"
20260110000000009040,XC58076872,2026-01-10T12:07:29,1172,"掃碼-全支付"
20260110000000007003,XC58076871,2026-01-10T11:23:47,249,"一般信用卡"
20260109000000014866,XC58076870,2026-01-09T15:41:32,498,"現金交易"
20260108000000007934,XC58076869,2026-01-08T12:46:11,1,"現金交易"
20260107000000013347,XC58076868,2026-01-07T15:52:55,458,"電子票證-悠遊卡-小額"
20260107000000010575,XC58076867,2026-01-07T14:14:19,298,"現金交易"
20260107000000009859,XC58076866,2026-01-07T13:48:53,149,"電子票證-悠遊卡-小額"
20260107000000009745,XC58076865,2026-01-07T13:44:38,298,"現金交易"
20260106000000013079,XC58076864,2026-01-06T15:35:59,558,"一般信用卡"
20260104000000020352,XC58076863,2026-01-04T16:54:42,298,"一般信用卡"
20260104000000016646,XC58076862,2026-01-04T15:40:12,358,"電子票證-悠遊卡-小額"
20260104000000015625,XC58076861,2026-01-04T15:17:27,298,"現金交易"
20260104000000015010,XC58076860,2026-01-04T15:04:32,298,"現金交易"
20260104000000012674,XC58076859,2026-01-04T14:15:11,573,"一般信用卡"
20260104000000012505,XC58076858,2026-01-04T14:11:33,298,"一般信用卡"
20260104000000012487,XC58076857,2026-01-04T14:11:01,298,"掃碼-悠遊付"
20260104000000012207,XC58076856,2026-01-04T14:05:07,498,"掃碼-LINE Pay"
20260104000000011450,XC58076855,2026-01-04T13:48:44,498,"一般信用卡"
20260104000000011416,XC58076854,2026-01-04T13:47:50,498,"掃碼-LINE Pay"
20260104000000011249,XC58076853,2026-01-04T13:44:03,1194,"現金交易"
20260104000000010171,XC58076852,2026-01-04T13:21:10,670,"一般信用卡"
20260104000000009621,XC58076851,2026-01-04T13:08:50,573,"一般信用卡"
20260104000000007472,XC58076850,2026-01-04T12:20:30,179,"掃碼-LINE Pay"
20260104000000006309,XC58076849,2026-01-04T11:51:04,149,"一般信用卡"
20260104000000006050,XC58076848,2026-01-04T11:44:36,298,"現金交易"
20260104000000003778,XC58076847,2026-01-04T10:34:16,1314,"現金交易"
20260103000000020430,XC58076846,2026-01-03T16:26:00,149,"電子票證-悠遊卡-小額"
20260103000000020391,XC58076845,2026-01-03T16:25:18,279,"現金交易"
20260103000000020247,XC58076844,2026-01-03T16:22:03,249,"掃碼-LINE Pay"
20260103000000020100,XC58076843,2026-01-03T16:18:35,670,"現金交易"
20260103000000017984,XC58076842,2026-01-03T15:30:27,149,"電子票證-悠遊卡-小額"
20260103000000017544,XC58076841,2026-01-03T15:19:59,298,"掃碼-LINE Pay"
20260103000000014449,XC58076840,2026-01-03T14:07:11,149,"一般信用卡"
20260103000000013979,XC58076839,2026-01-03T13:55:44,558,"掃碼-iPass MONEY"
20260103000000013873,XC58076838,2026-01-03T13:53:24,298,"電子票證-悠遊卡-小額"
20260103000000013756,XC58076837,2026-01-03T13:50:33,430,"一般信用卡"
20260103000000013577,XC58076836,2026-01-03T13:47:34,358,"一般信用卡"
20260103000000012530,XC58076835,2026-01-03T13:24:53,149,"電子票證-悠遊卡-小額"
20260103000000012286,XC58076834,2026-01-03T13:19:57,149,"電子票證-悠遊卡-小額"
20260103000000012258,XC58076833,2026-01-03T13:19:25,149,"電子票證-悠遊卡-小額"
20260103000000010292,XC58076832,2026-01-03T12:38:06,149,"電子票證-悠遊卡-小額"
20260103000000009944,XC58076831,2026-01-03T12:31:14,149,"電子票證-悠遊卡-小額"
20260103000000009614,XC58076830,2026-01-03T12:23:58,149,"現金交易"
20260103000000009420,XC58076829,2026-01-03T12:20:33,670,"掃碼-iPass MONEY"
20260103000000008779,XC58076828,2026-01-03T12:06:02,149,"現金交易"
20260103000000007903,XC58076827,2026-01-03T11:46:14,149,"一般信用卡"
20260103000000007865,XC58076826,2026-01-03T11:45:32,279,"現金交易"
20260103000000007500,XC58076825,2026-01-03T11:36:49,498,"一般信用卡"
20260102000000016572,XC58076824,2026-01-02T15:43:32,149,"一般信用卡"
20260102000000015050,XC58076823,2026-01-02T15:03:29,249,"一般信用卡"
20260102000000014132,XC58076822,2026-01-02T14:37:26,430,"現金交易"
20260102000000013147,XC58076821,2026-01-02T14:12:49,298,"現金交易"
20260102000000012144,XC58076820,2026-01-02T13:45:46,249,"掃碼-LINE Pay"
20260102000000011411,XC58076819,2026-01-02T13:26:17,249,"現金交易"
20260102000000008608,XC58076818,2026-01-02T12:15:05,1194,"現金交易"
20260102000000008486,XC58076817,2026-01-02T12:12:26,298,"現金交易"
20260101000000020935,XC58076816,2026-01-01T17:04:45,430,"現金交易"
20260101000000020718,XC58076815,2026-01-01T16:58:39,280,"一般信用卡"
20260101000000019643,XC58076814,2026-01-01T16:31:39,358,"電子票證-悠遊卡-小額"
20260101000000018729,XC58076813,2026-01-01T16:10:49,179,"電子票證-悠遊卡-小額"
20260101000000017852,XC58076812,2026-01-01T15:49:06,298,"一般信用卡"
20260101000000016452,XC58076811,2026-01-01T15:17:10,670,"掃碼-LINE Pay"
20260101000000016108,XC58076810,2026-01-01T15:08:41,298,"現金交易"
20260101000000014643,XC58076809,2026-01-01T14:31:41,689,"現金交易"
20260101000000012711,XC58076808,2026-01-01T13:45:42,949,"掃碼-LINE Pay"
20260101000000011320,XC58076807,2026-01-01T13:14:34,279,"電子票證-悠遊卡-小額"
20260101000000010472,XC58076806,2026-01-01T12:56:03,179,"電子票證-悠遊卡-小額"
